,00display cabinet,01bathtub,02bed,03oven and stove,04toilet,05bathroom cabinet,06bed,07towel,08oven and stove,09box,10display cabinet,11towel,12cabinet,13washing machine,14wardrobe,15bathroom towel,16bed,17washing machine,18bathroom towel,19table
img0030,0.6372593641281128,0.7793501019477844,0.37515124678611755,0.8381352424621582,0.6324427127838135,0.682600736618042,0.2573128640651703,0.5609728097915649,0.4724158048629761,0.4251590371131897,0.598979651927948,0.6593349575996399,0.5947797298431396,0.4589332938194275,0.49744918942451477,0.4506044089794159,0.4734703600406647,0.4733913838863373,0.4506044089794159,0.40893200039863586
img0031,0.5916039347648621,0.5145200490951538,0.42864012718200684,0.5526784062385559,0.43789583444595337,0.7066595554351807,0.28753578662872314,0.5902700424194336,0.11330579966306686,0.804500937461853,0.6652485728263855,0.7179386615753174,0.8783104419708252,0.7367525100708008,0.7908300161361694,0.07956606149673462,0.46750596165657043,0.49280884861946106,0.45090940594673157,0.43639758229255676
img0032,0.5952757596969604,0.5985789895057678,0.6059566140174866,0.5105841159820557,0.4238707721233368,0.7251604199409485,0.5923599004745483,0.6220343708992004,0.25576508045196533,0.30430111289024353,0.4153485894203186,0.5096018314361572,0.4336113929748535,0.5207746624946594,0.3256310224533081,0.19286730885505676,0.8062947392463684,0.5690697431564331,0.19286730885505676,0.3273645341396332
img0033,0.6134931445121765,0.5488746762275696,0.5569414496421814,0.4800381362438202,0.4529183804988861,0.7272650003433228,0.33109086751937866,0.6491279006004333,0.13106773793697357,0.552096962928772,0.6152385473251343,0.7053016424179077,0.6776174902915955,0.5083124041557312,0.65842604637146,0.521512508392334,0.592751145362854,0.5087719559669495,0.521512508392334,0.4917807877063751
img0034,0.595124363899231,0.4905717074871063,0.4212726354598999,0.5155117511749268,0.4764472544193268,0.7123409509658813,0.2989296317100525,0.5766391158103943,0.4325827360153198,0.5103539228439331,0.669291615486145,0.6911182403564453,0.6194655895233154,0.488115519285202,0.5443994402885437,0.48380452394485474,0.4624509811401367,0.48628735542297363,0.48380452394485474,0.022764073684811592
img0035,0.5017582178115845,0.74033123254776,0.5201314687728882,0.2656186521053314,0.45824936032295227,0.7064082622528076,0.31469473242759705,0.6120643615722656,0.4328194558620453,0.4608314037322998,0.7359575033187866,0.6997391581535339,0.663883626461029,0.6460219025611877,0.6019490361213684,0.4047263562679291,0.7305846214294434,0.6825013160705566,0.4047263562679291,0.41990724205970764
img0036,0.6274678111076355,0.4482596218585968,0.4623750150203705,0.5000459551811218,0.4801904261112213,0.6918075680732727,0.3379819989204407,0.2902276813983917,0.15064950287342072,0.16005490720272064,0.49897095561027527,0.6882111430168152,0.6469663977622986,0.4940783679485321,0.5794872045516968,0.5345935821533203,0.4927072823047638,0.5155232548713684,0.5345935821533203,0.474114328622818
img0037,0.5946862101554871,0.4052301347255707,0.3459106981754303,0.4322654604911804,0.46201226115226746,0.6358659267425537,0.36509281396865845,0.5505039095878601,0.3616364598274231,0.50241619348526,0.7407653331756592,0.6232858896255493,0.561092734336853,0.4946715533733368,0.5951129198074341,0.5550270676612854,0.3776591420173645,0.49812817573547363,0.5550270676612854,0.4042351245880127
img0038,0.6113499999046326,0.43295878171920776,0.4051913022994995,0.4653386175632477,0.46241331100463867,0.6843491792678833,0.32259291410446167,0.6006383299827576,0.3721867501735687,0.5038166642189026,0.7421417832374573,0.6718246340751648,0.5622841715812683,0.5097315907478333,0.6027462482452393,0.5621259212493896,0.42417120933532715,0.16386361420154572,0.20592473447322845,0.17793691158294678
img0039,0.25925758481025696,0.437195360660553,0.6505877375602722,0.4228108525276184,0.14428265392780304,0.38618460297584534,0.4655405580997467,0.5324636101722717,0.4037366211414337,0.5391347408294678,0.7346747517585754,0.6847108006477356,0.5758124589920044,0.5210539698600769,0.6138969659805298,0.5730217695236206,0.46338897943496704,0.5528139472007751,0.5730217695236206,0.11866822838783264
img0040,0.6365775465965271,0.7971311807632446,0.1627742052078247,0.4185194671154022,0.43705204129219055,0.7061283588409424,0.28743991255760193,0.5723398923873901,0.3383897542953491,0.45259717106819153,0.719264805316925,0.6621367931365967,0.7056506872177124,0.7893481850624084,0.7142643332481384,0.534690260887146,0.6643037796020508,0.8381381630897522,0.5882467031478882,0.3754209280014038
img0041,0.6160615086555481,0.4390454590320587,0.46050459146499634,0.5115479826927185,0.4630037248134613,0.7081445455551147,0.26493120193481445,0.5514933466911316,0.41643112897872925,0.4449112117290497,0.704318642616272,0.6251047253608704,0.666906476020813,0.5118528604507446,0.5662974715232849,0.46651938557624817,0.49323517084121704,0.539207935333252,0.46651938557624817,0.38953110575675964
img0042,0.602376401424408,0.43505871295928955,0.4358469843864441,0.4738980829715729,0.43328607082366943,0.35152527689933777,0.46516039967536926,0.43410179018974304,0.2939518094062805,0.4420772194862366,0.6735148429870605,0.6342027187347412,0.6300972700119019,0.4716636538505554,0.5565900206565857,0.4548184871673584,0.47462350130081177,0.4942304790019989,0.4548184871673584,0.4003816545009613
img0043,0.580833375453949,0.4163029193878174,0.38810205459594727,0.39805519580841064,0.41138315200805664,0.6831227540969849,0.28286370635032654,0.5525625944137573,0.3209318518638611,0.4332485795021057,0.68305504322052,0.6209943890571594,0.587823212146759,0.458753764629364,0.5629593729972839,0.428588330745697,0.42432060837745667,0.4713718593120575,0.34745079278945923,0.46734705567359924
